run_id,experiment,seed,ants,alpha,beta,rho,tau_init,variant,best_cost,runtime_s,best_perm_str
33,E4_rho_0.8,256,20,1.0,2.0,0.8,5.0,rho=0.8,1256,1.1362220830051228,"[5, 10, 2, 0, 8, 3, 12, 7, 11, 4, 13, 14, 6, 1, 9]"
34,E4_rho_0.8,789,20,1.0,2.0,0.8,5.0,rho=0.8,1254,1.1510880420100875,"[10, 11, 3, 13, 8, 14, 6, 7, 0, 9, 5, 2, 1, 12, 4]"
35,E4_rho_0.8,1024,20,1.0,2.0,0.8,5.0,rho=0.8,1268,1.13223720798851,"[1, 0, 8, 3, 13, 14, 10, 5, 6, 9, 11, 12, 2, 7, 4]"
36,E5_alpha0,42,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1294,1.11309858399909,"[0, 5, 11, 10, 14, 2, 9, 12, 7, 4, 13, 8, 6, 1, 3]"
37,E5_alpha0,123,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1262,1.0992674590088427,"[1, 2, 9, 4, 10, 0, 14, 11, 7, 6, 12, 13, 8, 3, 5]"
38,E5_alpha0,256,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1256,1.1071997079998255,"[14, 3, 6, 11, 7, 10, 1, 8, 9, 0, 4, 2, 13, 12, 5]"
39,E5_alpha0,789,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1304,1.1108552500081714,"[11, 10, 7, 4, 8, 14, 3, 2, 6, 12, 1, 0, 5, 9, 13]"
40,E5_alpha0,1024,20,0.0,2.0,0.8,5.0,alpha=0 (heuristic only),1284,1.0862644580192864,"[4, 3, 6, 2, 0, 1, 11, 12, 8, 10, 13, 14, 9, 7, 5]"
41,E6_beta0,42,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1342,0.40000024999608286,"[4, 12, 7, 2, 3, 10, 1, 8, 13, 5, 14, 9, 6, 11, 0]"
42,E6_beta0,123,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1286,0.3985069170012139,"[3, 2, 6, 5, 13, 0, 11, 8, 4, 1, 9, 14, 7, 12, 10]"
43,E6_beta0,256,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1294,0.39772666699718684,"[1, 3, 7, 12, 13, 9, 11, 5, 6, 8, 0, 10, 2, 4, 14]"
44,E6_beta0,789,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1352,0.3986412090016529,"[5, 6, 8, 14, 9, 13, 4, 1, 3, 10, 2, 0, 7, 12, 11]"
45,E6_beta0,1024,20,1.0,0.0,0.8,5.0,beta=0 (pheromone only),1286,0.39884158299537376,"[6, 2, 3, 1, 11, 5, 8, 9, 4, 0, 14, 13, 7, 12, 10]"
46,E7_q0,42,20,1.0,2.0,0.8,5.0,q0=0.5,1236,1.038861832988914,"[0, 1, 8, 3, 2, 4, 6, 12, 10, 14, 11, 13, 5, 7, 9]"
47,E7_q0,123,20,1.0,2.0,0.8,5.0,q0=0.5,1318,1.0678655419906136,"[9, 8, 7, 2, 11, 10, 4, 12, 13, 1, 14, 0, 3, 6, 5]"
48,E7_q0,256,20,1.0,2.0,0.8,5.0,q0=0.5,1318,1.0675483329978306,"[14, 4, 8, 13, 10, 0, 12, 3, 1, 6, 2, 11, 7, 9, 5]"
49,E7_q0,789,20,1.0,2.0,0.8,5.0,q0=0.5,1344,1.0461844169767573,"[0, 2, 8, 3, 11, 14, 1, 6, 12, 4, 5, 7, 10, 13, 9]"
50,E7_q0,1024,20,1.0,2.0,0.8,5.0,q0=0.5,1296,1.0329997919907328,"[0, 5, 11, 10, 4, 8, 14, 12, 2, 13, 1, 9, 6, 7, 3]"
51,E8_local,42,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1288,1.1358902079809923,"[6, 12, 7, 11, 1, 0, 3, 14, 8, 10, 9, 4, 13, 2, 5]"
52,E8_local,123,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1276,1.15418829099508,"[11, 13, 2, 12, 1, 14, 5, 6, 7, 9, 10, 0, 8, 3, 4]"
53,E8_local,256,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1230,1.1470007919997443,"[0, 1, 13, 3, 8, 4, 5, 11, 12, 14, 10, 6, 2, 7, 9]"
54,E8_local,789,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1268,1.1499056250031572,"[4, 14, 7, 1, 6, 11, 0, 2, 8, 10, 3, 5, 9, 13, 12]"
55,E8_local,1024,20,1.0,2.0,0.8,5.0,local update (rho_l=0.1),1292,1.1358631250041071,"[2, 13, 6, 8, 11, 5, 3, 9, 14, 0, 4, 1, 12, 7, 10]"
56,E9_elitist,42,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1204,1.1347620830056258,"[1, 2, 8, 3, 12, 14, 11, 5, 6, 4, 0, 10, 7, 13, 9]"
57,E9_elitist,123,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1226,1.164506416011136,"[14, 9, 11, 12, 1, 5, 13, 6, 2, 10, 3, 4, 8, 7, 0]"
58,E9_elitist,256,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1196,1.140772749989992,"[2, 7, 13, 3, 1, 4, 0, 6, 11, 14, 5, 10, 12, 8, 9]"
59,E9_elitist,789,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1196,1.13595825000084,"[3, 2, 6, 1, 11, 5, 4, 9, 13, 0, 14, 12, 8, 7, 10]"
60,E9_elitist,1024,20,1.0,2.0,0.8,5.0,elitist 30% + local update,1226,1.1441128750157077,"[3, 4, 6, 8, 7, 0, 9, 13, 12, 10, 14, 11, 2, 1, 5]"
